config,method,type,mean_est,mean_true,mean_mae,std_mae
enc_64,ENGPE,ST,0.924873,0.594575,0.330298,0.153621
enc_64,ENGPE,TA,0.926215,0.768761,0.158602,0.054572
enc_64,ENGPE-TA,ST,0.793277,0.594575,0.198702,0.077778
enc_64,ENGPE-TA,TA,0.844503,0.768761,0.080187,0.035829
enc_64,ATC,ST,0.794079,0.594575,0.199504,0.097855
enc_64,ATC,TA,0.794079,0.768761,0.071418,0.052381
enc_64,ATC-NE,ST,0.787606,0.594575,0.193030,0.090734
enc_64,ATC-NE,TA,0.787606,0.768761,0.077563,0.060813
enc_64,AC,ST,0.891952,0.594575,0.297377,0.141956
enc_64,AC,TA,0.891952,0.768761,0.126319,0.050427
enc_64,DOC,ST,0.891928,0.594575,0.297352,0.141956
enc_64,DOC,TA,0.891928,0.768761,0.126296,0.050424
enc_64,COT,ST,0.785057,0.594575,0.190481,0.083108
enc_64,COT,TA,0.785057,0.768761,0.085217,0.069514
