config,method,type,mean_est,mean_true,mean_mae,std_mae
enc_64,ENGPE,ST,0.930022,0.557898,0.372124,0.168738
enc_64,ENGPE,TA,0.930783,0.761561,0.171063,0.062354
enc_64,ENGPE-TA,ST,0.778172,0.557898,0.220274,0.097650
enc_64,ENGPE-TA,TA,0.828218,0.761561,0.078193,0.039187
enc_64,ATC,ST,0.767927,0.557898,0.210028,0.102440
enc_64,ATC,TA,0.767927,0.761561,0.075763,0.064011
enc_64,ATC-NE,ST,0.685530,0.557898,0.127631,0.073821
enc_64,ATC-NE,TA,0.685530,0.761561,0.095491,0.114598
enc_64,AC,ST,0.849770,0.557898,0.291871,0.138287
enc_64,AC,TA,0.849770,0.761561,0.101262,0.050111
enc_64,DOC,ST,0.849707,0.557898,0.291809,0.138287
enc_64,DOC,TA,0.849707,0.761561,0.101211,0.050103
enc_64,COT,ST,0.744295,0.557898,0.186397,0.090315
enc_64,COT,TA,0.744295,0.761561,0.089848,0.092903
