testset,testset_idx,n_samples,is_source,is_target,is_clean,true_acc,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,mano_fro_norm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
corr_source_saturate_sev2,95,6500,True,False,False,0.8956923076923077,0.8956923076923077,0.9044615384615384,0.8648271044359064,0.8725535142238031,0.030865203256401297,0.03190802423773531,0.8871168532923474,0.8871563759191453,0.008575454399960325,0.017305162542393115,0.9306634929357082,0.9367691874504089,0.04107687975810126,0.03230764898887051,0.9236922860145569,0.027999978322249208,0.019230747553018457,0.9543037414550781,0.05861143376277045,0.0498422029935397,0.9538553357124329,0.058163028020125185,0.04939379725089443,0.9381959788799301,0.04250367118762244,0.03373444041839169
corr_source_saturate_sev3,96,6500,True,False,False,0.9278461538461539,0.9278461538461539,0.9312307692307692,0.8990514905149052,0.9052056164366128,0.028794663331248693,0.026025152794156403,0.9290580615583425,0.9292743878286719,0.001211907712188598,0.001956381402097307,0.9552479118484133,0.9615384340286255,0.03369228018247161,0.030307664797856293,0.9546153545379639,0.02676920069180999,0.023384585307194672,0.9715543985366821,0.04370824469052825,0.040323629305912934,0.9711059927940369,0.04325983894788299,0.03987522356326767,0.962857459247795,0.0350113054016411,0.03162669001702578
corr_source_saturate_sev4,97,6500,True,False,False,0.8824615384615384,0.8824615384615384,0.8992307692307693,0.8566402814423921,0.866733941172937,0.025821257019146282,0.03249682805783227,0.8803758965263586,0.8805726646840986,0.002085641935179794,0.018658104546670717,0.9273041020644106,0.9335384368896484,0.05107689842811003,0.03430766765887916,0.9179999828338623,0.035538444372323896,0.018769213603093027,0.9522345066070557,0.06977296814551726,0.053003737376286386,0.9517861008644104,0.06932456240287199,0.05255533163364112,0.9425589414376686,0.0600974029761302,0.04332817220689933
corr_source_saturate_sev5,98,6500,True,False,False,0.8127692307692308,0.8127692307692308,0.8473846153846154,0.7809452363090773,0.8150726972552187,0.03182399446015349,0.03231191812939671,0.8122137526223785,0.8123916005425957,0.0005554781468523062,0.034993014842019665,0.8917096704567277,0.8999999761581421,0.08723074538891129,0.05261536077352669,0.8735384345054626,0.06076920373623185,0.026153819120847244,0.9283424615859985,0.11557323081676774,0.08095784620138313,0.9278940558433533,0.11512482507412247,0.08050944045873787,0.896524930970265,0.08375570020103418,0.049140315585649574
corr_target_fog_sev1,99,6500,False,True,False,0.686,0.686,0.746,0.6702127659574468,0.7588517228774868,0.015787234042553222,0.012851722877486815,0.7391839188967357,0.7392176742300355,0.05318391889673568,0.0067823257699645145,0.8556730207554777,0.8656923174858093,0.17969231748580927,0.11969231748580933,0.8304615020751953,0.14446150207519526,0.08446150207519532,0.9047119617462158,0.21871196174621577,0.15871196174621582,0.9042635560035706,0.2182635560035705,0.15826355600357056,0.8328905634612017,0.14689056346120166,0.08689056346120172
corr_target_fog_sev2,100,6500,False,True,False,0.6538461538461539,0.6538461538461539,0.7303076923076923,0.6051502145922747,0.7484837682742529,0.04869593925387916,0.018176075966560568,0.6966111909342224,0.6967832542862147,0.04276503708806856,0.03352443802147764,0.8377815864386597,0.845230758190155,0.19138460434400117,0.1149230658824627,0.8059999942779541,0.15215384043180025,0.07569230197026178,0.892879068851471,0.2390329150053171,0.16257137654377862,0.8924306631088257,0.23858450926267183,0.16212297080113336,0.8088233594273877,0.15497720558123385,0.07851566711969538
corr_target_fog_sev3,101,6500,False,True,False,0.6115384615384616,0.6115384615384616,0.7093846153846154,0.5439068100358423,0.722701955545179,0.0676316515026193,0.013317340160563629,0.6376642975767849,0.6377263053515877,0.026125836038323302,0.0716583100330277,0.8099666314382135,0.8190768957138062,0.20753843417534457,0.10969228032919076,0.7699999809265137,0.15846151938805209,0.06061536554189828,0.8750548362731934,0.2635163747347318,0.16567022088857797,0.8746064305305481,0.2630679689920865,0.1652218151459327,0.78274312879746,0.1712046672589984,0.0733585134128446
corr_target_fog_sev4,102,6500,False,True,False,0.5832307692307692,0.5832307692307692,0.7026153846153846,0.47917641553579776,0.7356927827764385,0.10405435369497146,0.03307739816105382,0.5975972807507098,0.5975972807507098,0.014366511519940617,0.1050181038646748,0.7833300953373854,0.7832307815551758,0.20000001232440656,0.08061539693979114,0.7260000109672546,0.14276924173648542,0.023384626351869997,0.8554481267929077,0.2722173575621385,0.15283274217752307,0.8549997210502625,0.27176895181949323,0.1523843364348778,0.7568403847091395,0.17360961547837028,0.05422500009375486
corr_target_fog_sev5,103,6500,False,True,False,0.4866153846153846,0.4866153846153846,0.6953846153846154,0.26943556975505856,0.8278903215919409,0.21717981486032606,0.1325057062073255,0.4407221448350057,0.6384719750010845,0.0458932397803789,0.05691264038353083,0.7059805592082024,0.6984615325927734,0.21184614797738882,0.0030769172081580587,0.60707688331604,0.12046149870065542,0.08830773206857534,0.8013178706169128,0.3147024860015282,0.10593325523229746,0.8008694648742676,0.31425408025888296,0.1054848494896522,0.6864917760382472,0.19987639142286256,0.008892839346368198
corr_target_frost_sev1,104,6500,False,True,False,0.6952307692307692,0.6952307692307692,0.7533846153846154,0.6828774062816616,0.7644455967657111,0.012353362949107605,0.01106098138109568,0.7418400247818028,0.7418400247818028,0.04660925555103357,0.011544590602812654,0.8463158587495744,0.8560000061988831,0.16076923696811385,0.10261539081426763,0.8133845925331116,0.11815382330234236,0.05999997714849614,0.8984668850898743,0.20323611585910506,0.14508226970525884,0.898018479347229,0.2027877101164598,0.14463386396261357,0.8484344160762135,0.1532036468454443,0.09504980069159807
corr_target_frost_sev2,105,6500,False,True,False,0.6123076923076923,0.6123076923076923,0.711076923076923,0.5682819383259912,0.7140116892840922,0.044025753981701166,0.0029347662071691483,0.6475828076539598,0.6484175397874786,0.03527511534626748,0.06265938328944443,0.790036829681518,0.7973846197128296,0.18507692740513726,0.08630769663590654,0.7364615201950073,0.124153827887315,0.025384597118084273,0.8626577258110046,0.2503500335033123,0.1515808027340816,0.8622093200683594,0.24990162776066704,0.15113239699143632,0.7862632620141956,0.17395556970650328,0.07518633893727256
