dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,living17,val_source,0.595900,0.413100,0.404565,0.404400,0.000000,0.000000,0.000667
breeds,living17,val_source,0.606000,0.403000,0.394465,0.394300,0.000000,0.000000,0.000667
breeds,living17,val_source,0.616100,0.392900,0.384365,0.384200,0.000000,0.000000,0.000667
breeds,living17,val_source,0.626200,0.382800,0.374265,0.374100,0.000000,0.000000,0.000667
breeds,living17,val_source,0.636300,0.372700,0.364165,0.364000,0.000000,0.000000,0.000667
breeds,living17,val_source,0.646400,0.362600,0.354065,0.353900,0.000000,0.000000,0.000667
breeds,living17,val_source,0.656500,0.352500,0.343965,0.343800,0.000000,0.000000,0.000667
breeds,living17,val_source,0.666600,0.342400,0.333865,0.333700,0.000000,0.000000,0.000667
breeds,living17,val_source,0.676700,0.332300,0.323765,0.323600,0.000000,0.000000,0.000667
breeds,living17,val_source,0.686800,0.322200,0.313665,0.313500,0.000000,0.000000,0.000667
breeds,living17,val_source,0.696900,0.312100,0.303565,0.303400,0.000000,0.000000,0.000667
breeds,living17,val_source,0.707000,0.302000,0.293465,0.293300,0.000000,0.000000,0.000667
breeds,living17,val_source,0.717100,0.291900,0.283365,0.283200,0.000000,0.000000,0.000667
breeds,living17,val_source,0.727200,0.281800,0.273265,0.273100,0.000000,0.000000,0.000667
breeds,living17,val_source,0.737300,0.271700,0.263165,0.263000,0.000000,0.000000,0.000667
breeds,living17,val_source,0.747400,0.261600,0.253065,0.252900,0.000000,0.000000,0.000667
breeds,living17,val_source,0.757500,0.251500,0.242965,0.242800,0.000000,0.000000,0.000667
breeds,living17,val_source,0.767600,0.241400,0.232865,0.232700,0.000000,0.000000,0.000667
breeds,living17,val_source,0.777700,0.231300,0.222765,0.222600,0.000000,0.000000,0.000667
breeds,living17,val_source,0.787800,0.221400,0.212665,0.212500,0.000000,0.000000,0.000667
breeds,living17,val_source,0.797900,0.211500,0.202565,0.202400,0.000000,0.000000,0.000483
breeds,living17,val_source,0.808000,0.201400,0.192465,0.192300,0.000000,0.000000,0.000483
breeds,living17,val_source,0.818100,0.191300,0.182365,0.182200,0.000000,0.000000,0.000483
breeds,living17,val_source,0.828200,0.181200,0.172265,0.172100,0.000000,0.000000,0.000483
breeds,living17,val_source,0.838300,0.171100,0.162165,0.162000,0.000000,0.000000,0.000483
breeds,living17,val_source,0.848400,0.161000,0.152065,0.151900,0.000000,0.000000,0.000483
breeds,living17,val_source,0.858500,0.150900,0.141965,0.141800,0.000000,0.000000,0.000483
breeds,living17,val_source,0.868600,0.141000,0.131865,0.131700,0.000000,0.000000,0.000000
breeds,living17,val_source,0.878700,0.130900,0.121765,0.121600,0.000000,0.000000,0.000000
breeds,living17,val_source,0.888800,0.120800,0.111665,0.111500,0.000000,0.000000,0.000000
breeds,living17,val_source,0.898900,0.110700,0.101565,0.101400,0.000000,0.000000,0.000000
breeds,living17,val_source,0.909000,0.100600,0.091465,0.091300,0.000000,0.000000,0.000000
breeds,living17,val_source,0.919100,0.090500,0.081365,0.081200,0.000000,0.000000,0.000000
breeds,living17,val_source,0.929200,0.080400,0.071265,0.071100,0.000000,0.000000,0.000000
breeds,living17,val_source,0.939300,0.070300,0.061165,0.061000,0.000000,0.000000,0.000000
breeds,living17,val_source,0.949400,0.060200,0.051065,0.050900,0.000000,0.000000,0.000000
breeds,living17,val_source,0.959500,0.050100,0.040965,0.040800,0.000000,0.000000,0.000000
breeds,living17,val_source,0.969600,0.040000,0.030865,0.030700,0.000000,0.000000,0.000000
breeds,living17,val_source,0.979700,0.029900,0.020765,0.020600,0.000000,0.000000,0.000000
breeds,living17,val_source,0.989800,0.019800,0.010665,0.010500,0.000000,0.000000,0.000000
breeds,living17,val_source,0.999900,0.009700,0.000565,0.000400,0.000000,0.000000,0.000000
breeds,living17,val_target,0.000000,0.825181,0.984767,0.995596,0.015233,0.004404,0.174819
breeds,living17,val_target,0.010087,0.827498,0.978472,0.987935,0.013473,0.003223,0.170331
breeds,living17,val_target,0.020197,0.828384,0.971344,0.979152,0.012090,0.002580,0.166470
breeds,living17,val_target,0.030284,0.827839,0.963987,0.969613,0.010808,0.002324,0.163285
breeds,living17,val_target,0.040393,0.826363,0.956259,0.960005,0.009681,0.002087,0.160508
breeds,living17,val_target,0.050503,0.825477,0.948537,0.950399,0.008527,0.001844,0.157367
breeds,living17,val_target,0.060590,0.824295,0.940318,0.940584,0.007624,0.001719,0.154313
breeds,living17,val_target,0.070700,0.822410,0.932063,0.930799,0.006709,0.001563,0.151571
breeds,living17,val_target,0.080787,0.819910,0.923483,0.920934,0.005963,0.001460,0.149095
breeds,living17,val_target,0.090897,0.817025,0.914864,0.911325,0.005210,0.001200,0.146788
breeds,living17,val_target,0.101006,0.814685,0.905709,0.901308,0.004737,0.001162,0.144110
breeds,living17,val_target,0.111093,0.812141,0.896683,0.891451,0.004194,0.001046,0.141503
breeds,living17,val_target,0.121203,0.808483,0.887582,0.881702,0.003668,0.000853,0.139463
breeds,living17,val_target,0.131290,0.804303,0.878178,0.871888,0.003318,0.000706,0.137662
breeds,living17,val_target,0.141400,0.800554,0.868787,0.861959,0.002938,0.000608,0.135596
breeds,living17,val_target,0.151510,0.795852,0.859303,0.851941,0.002605,0.000562,0.134037
breeds,living17,val_target,0.161597,0.791444,0.849624,0.841950,0.002393,0.000512,0.132262
breeds,living17,val_target,0.171706,0.786605,0.839890,0.831925,0.002195,0.000466,0.130695
breeds,living17,val_target,0.181793,0.781925,0.830263,0.821975,0.001941,0.000389,0.128998
breeds,living17,val_target,0.191903,0.776677,0.820413,0.812048,0.001805,0.000280,0.127599
breeds,living17,val_target,0.202013,0.771520,0.810550,0.801944,0.001673,0.000280,0.126110
breeds,living17,val_target,0.212100,0.766795,0.800623,0.791862,0.001593,0.000280,0.124333
breeds,living17,val_target,0.222210,0.761501,0.790749,0.781788,0.001462,0.000261,0.122835
breeds,living17,val_target,0.232297,0.756458,0.780839,0.771706,0.001366,0.000261,0.121171
breeds,living17,val_target,0.242406,0.751255,0.770947,0.761602,0.001241,0.000261,0.119561
breeds,living17,val_target,0.252516,0.745780,0.761072,0.751525,0.001100,0.000242,0.118067
breeds,living17,val_target,0.262603,0.741191,0.751065,0.741443,0.001061,0.000242,0.115962
breeds,living17,val_target,0.272713,0.734716,0.741166,0.731338,0.000931,0.000242,0.115038
breeds,living17,val_target,0.282800,0.728673,0.731229,0.721256,0.000840,0.000242,0.113870
breeds,living17,val_target,0.292910,0.722834,0.721172,0.711152,0.000814,0.000242,0.112482
breeds,living17,val_target,0.303019,0.716360,0.711175,0.701069,0.000745,0.000227,0.111480
breeds,living17,val_target,0.313106,0.710271,0.701122,0.690986,0.000731,0.000227,0.110233
breeds,living17,val_target,0.323216,0.704523,0.691027,0.680881,0.000731,0.000227,0.108631
