dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,val_source,0.000000,0.972200,0.962533,0.949359,0.037467,0.050641,0.027800
breeds,entity13,val_source,0.010100,0.973700,0.955136,0.949552,0.036484,0.045959,0.022224
breeds,entity13,val_source,0.020200,0.970200,0.949151,0.947905,0.034760,0.042119,0.019082
breeds,entity13,val_source,0.030300,0.965100,0.943511,0.944510,0.032822,0.039100,0.016699
breeds,entity13,val_source,0.040400,0.959000,0.938360,0.941069,0.030589,0.036042,0.014790
breeds,entity13,val_source,0.050500,0.951700,0.932879,0.937371,0.028482,0.033054,0.013479
breeds,entity13,val_source,0.060600,0.944200,0.927425,0.932552,0.026316,0.030599,0.012235
breeds,entity13,val_source,0.070700,0.937100,0.921270,0.927525,0.024479,0.028202,0.010761
breeds,entity13,val_source,0.080800,0.929000,0.915107,0.920554,0.022607,0.026810,0.009791
breeds,entity13,val_source,0.090900,0.920300,0.908252,0.913404,0.021073,0.025485,0.009130
breeds,entity13,val_source,0.101000,0.912000,0.900988,0.906666,0.019732,0.023902,0.008230
breeds,entity13,val_source,0.111100,0.903500,0.893353,0.899308,0.018570,0.022631,0.007418
breeds,entity13,val_source,0.121200,0.894000,0.885758,0.891871,0.017359,0.021375,0.007150
breeds,entity13,val_source,0.131300,0.884700,0.877601,0.884254,0.016442,0.020195,0.006790
breeds,entity13,val_source,0.141400,0.875200,0.870049,0.876230,0.015152,0.019224,0.006497
breeds,entity13,val_source,0.151500,0.865500,0.862151,0.869041,0.014034,0.017737,0.006351
breeds,entity13,val_source,0.161600,0.856800,0.853960,0.861619,0.013065,0.016354,0.005598
breeds,entity13,val_source,0.171700,0.847700,0.845208,0.853638,0.012411,0.015274,0.005049
breeds,entity13,val_source,0.181800,0.838600,0.836708,0.844913,0.011586,0.014622,0.004520
breeds,entity13,val_source,0.191900,0.829700,0.827697,0.836069,0.011057,0.014028,0.003825
breeds,entity13,val_source,0.202000,0.820200,0.819053,0.827172,0.010285,0.013452,0.003505
breeds,entity13,val_source,0.212100,0.810500,0.809971,0.819316,0.009771,0.012200,0.003297
breeds,entity13,val_source,0.222200,0.800600,0.800896,0.810874,0.009239,0.011293,0.003178
breeds,entity13,val_source,0.232300,0.790900,0.791692,0.802223,0.008776,0.010497,0.002973
breeds,entity13,val_source,0.242400,0.781000,0.782527,0.793311,0.008276,0.009854,0.002870
