config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_42,ENGPE,ST,0.938084,0.594575,0.343509,0.158732
seed_42,ENGPE,TA,0.939021,0.768761,0.171366,0.059100
seed_42,ENGPE-TA,ST,0.795033,0.594575,0.200458,0.077158
seed_42,ENGPE-TA,TA,0.848203,0.768761,0.082732,0.035845
seed_42,ATC,ST,0.794079,0.594575,0.199504,0.097855
seed_42,ATC,TA,0.794079,0.768761,0.071418,0.052381
seed_42,ATC-NE,ST,0.787606,0.594575,0.193030,0.090734
seed_42,ATC-NE,TA,0.787606,0.768761,0.077563,0.060813
seed_42,AC,ST,0.891952,0.594575,0.297377,0.141956
seed_42,AC,TA,0.891952,0.768761,0.126319,0.050427
seed_42,DOC,ST,0.891928,0.594575,0.297352,0.141956
seed_42,DOC,TA,0.891928,0.768761,0.126296,0.050424
seed_42,COT,ST,0.785057,0.594575,0.190481,0.083108
seed_42,COT,TA,0.785057,0.768761,0.085217,0.069514
