dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity30,seed_42,val_source,3.806314,0.000000,0.969200,0.993982,0.996488,0.006018,0.003512,0.030800
breeds,entity30,seed_42,val_source,6.725999,0.010100,0.969700,0.986473,0.988802,0.004771,0.002329,0.025750
breeds,entity30,seed_42,val_source,7.797575,0.020200,0.968200,0.978290,0.980711,0.003841,0.001327,0.021637
breeds,entity30,seed_42,val_source,8.516130,0.030300,0.962900,0.969479,0.971024,0.003217,0.001128,0.019387
breeds,entity30,seed_42,val_source,9.118033,0.040400,0.958000,0.960428,0.961515,0.002704,0.000832,0.016880
breeds,entity30,seed_42,val_source,9.587058,0.050500,0.951500,0.951000,0.952015,0.002379,0.000525,0.015166
breeds,entity30,seed_42,val_source,10.013796,0.060600,0.944800,0.941531,0.942115,0.002069,0.000424,0.013518
breeds,entity30,seed_42,val_source,10.273667,0.070700,0.935700,0.931751,0.932217,0.001919,0.000321,0.013127
breeds,entity30,seed_42,val_source,10.555158,0.080800,0.926600,0.921939,0.922316,0.001784,0.000215,0.012699
breeds,entity30,seed_42,val_source,10.843086,0.090900,0.918500,0.912273,0.912221,0.001565,0.000215,0.011762
breeds,entity30,seed_42,val_source,11.129561,0.101000,0.909800,0.902595,0.902125,0.001348,0.000215,0.011115
breeds,entity30,seed_42,val_source,11.291728,0.111100,0.901500,0.892667,0.892029,0.001266,0.000215,0.010217
breeds,entity30,seed_42,val_source,11.501163,0.121200,0.892600,0.882718,0.881934,0.001195,0.000215,0.009672
breeds,entity30,seed_42,val_source,11.657480,0.131300,0.883500,0.872685,0.871838,0.001170,0.000215,0.009206
breeds,entity30,seed_42,val_source,11.823189,0.141400,0.874400,0.862679,0.861742,0.001129,0.000215,0.008723
breeds,entity30,seed_42,val_source,11.963902,0.151500,0.865300,0.852652,0.851647,0.001100,0.000215,0.008246
breeds,entity30,seed_42,val_source,12.111108,0.161600,0.856000,0.842655,0.841715,0.001051,0.000118,0.007845
breeds,entity30,seed_42,val_source,12.247869,0.171700,0.847100,0.832658,0.831617,0.001002,0.000118,0.007239
breeds,entity30,seed_42,val_source,12.364087,0.181800,0.837400,0.822655,0.821519,0.000955,0.000118,0.007070
breeds,entity30,seed_42,val_source,12.482041,0.191900,0.828100,0.812589,0.811422,0.000946,0.000118,0.006656
breeds,entity30,seed_42,val_source,12.587523,0.202000,0.818400,0.802570,0.801324,0.000907,0.000118,0.006513
breeds,entity30,seed_42,val_source,12.700681,0.212100,0.809300,0.792562,0.791226,0.000861,0.000118,0.005930
breeds,entity30,seed_42,val_source,12.794377,0.222200,0.799200,0.782500,0.781129,0.000847,0.000118,0.005930
breeds,entity30,seed_42,val_source,12.911542,0.232300,0.789900,0.772495,0.771212,0.000796,0.000000,0.005577
breeds,entity30,seed_42,val_source,13.013055,0.242400,0.780400,0.762482,0.761112,0.000750,0.000000,0.005264
breeds,entity30,seed_42,val_source,13.108139,0.252500,0.770300,0.752397,0.751012,0.000750,0.000000,0.005264
breeds,entity30,seed_42,val_source,13.200124,0.262600,0.760600,0.742312,0.740912,0.000750,0.000000,0.005152
breeds,entity30,seed_42,val_source,13.286651,0.272700,0.750700,0.732246,0.730812,0.000737,0.000000,0.005027
breeds,entity30,seed_42,val_source,13.390979,0.282800,0.740600,0.722303,0.720712,0.000638,0.000000,0.005027
breeds,entity30,seed_42,val_source,13.482860,0.292900,0.730700,0.712268,0.710612,0.000601,0.000000,0.005027
breeds,entity30,seed_42,val_source,13.565183,0.303000,0.720800,0.702180,0.700512,0.000601,0.000000,0.004991
breeds,entity30,seed_42,val_source,13.675820,0.313100,0.710700,0.692092,0.690412,0.000601,0.000000,0.004991
breeds,entity30,seed_42,val_source,13.768365,0.323200,0.700800,0.682005,0.680312,0.000601,0.000000,0.004962
breeds,entity30,seed_42,val_source,13.858596,0.333300,0.690700,0.671991,0.670212,0.000545,0.000000,0.004962
breeds,entity30,seed_42,val_source,13.940606,0.343400,0.680600,0.662028,0.660112,0.000449,0.000000,0.004962
breeds,entity30,seed_42,val_source,14.003906,0.353500,0.670700,0.651937,0.650012,0.000449,0.000000,0.004962
breeds,entity30,seed_42,val_source,14.079394,0.363600,0.660600,0.641846,0.639912,0.000449,0.000000,0.004962
breeds,entity30,seed_42,val_source,14.154701,0.373700,0.650700,0.631802,0.629812,0.000412,0.000000,0.004962
breeds,entity30,seed_42,val_source,14.234745,0.383800,0.640800,0.621710,0.619712,0.000412,0.000000,0.004962
breeds,entity30,seed_42,val_source,14.314937,0.393900,0.630900,0.611619,0.609612,0.000412,0.000000,0.004913
breeds,entity30,seed_42,val_source,14.390791,0.404000,0.621200,0.601527,0.599512,0.000412,0.000000,0.004675
breeds,entity30,seed_42,val_source,14.465767,0.414100,0.611100,0.591479,0.589412,0.000375,0.000000,0.004675
breeds,entity30,seed_42,val_source,14.545707,0.424200,0.601400,0.581386,0.579312,0.000375,0.000000,0.004511
breeds,entity30,seed_42,val_source,14.615200,0.434300,0.591500,0.571294,0.569212,0.000375,0.000000,0.004397
breeds,entity30,seed_42,val_source,14.698407,0.444400,0.581400,0.561202,0.559112,0.000375,0.000000,0.004397
breeds,entity30,seed_42,val_source,14.780227,0.454500,0.571700,0.551109,0.549012,0.000375,0.000000,0.004208
breeds,entity30,seed_42,val_source,14.860284,0.464600,0.561800,0.541017,0.538912,0.000375,0.000000,0.004049
breeds,entity30,seed_42,val_source,14.933947,0.474700,0.551700,0.530924,0.528812,0.000375,0.000000,0.004049
breeds,entity30,seed_42,val_source,15.025041,0.484800,0.541600,0.520832,0.518712,0.000375,0.000000,0.004049
breeds,entity30,seed_42,val_source,15.119963,0.494900,0.531500,0.510739,0.508612,0.000375,0.000000,0.004049
breeds,entity30,seed_42,val_source,15.183101,0.505000,0.521800,0.500680,0.498512,0.000341,0.000000,0.004034
breeds,entity30,seed_42,val_source,15.278000,0.515100,0.511700,0.490587,0.488412,0.000341,0.000000,0.004034
breeds,entity30,seed_42,val_source,15.353392,0.525200,0.501800,0.480494,0.478312,0.000341,0.000000,0.003929
breeds,entity30,seed_42,val_source,15.440926,0.535300,0.491900,0.470401,0.468212,0.000341,0.000000,0.003810
breeds,entity30,seed_42,val_source,15.514199,0.545400,0.481800,0.460389,0.458112,0.000252,0.000000,0.003810
breeds,entity30,seed_42,val_source,15.584647,0.555500,0.471900,0.450400,0.448012,0.000133,0.000000,0.003763
breeds,entity30,seed_42,val_source,15.679794,0.565600,0.461800,0.440303,0.437912,0.000133,0.000000,0.003763
breeds,entity30,seed_42,val_source,15.765148,0.575700,0.451900,0.430205,0.427812,0.000133,0.000000,0.003754
breeds,entity30,seed_42,val_source,15.849681,0.585800,0.442000,0.420108,0.417712,0.000133,0.000000,0.003605
breeds,entity30,seed_42,val_source,15.928007,0.595900,0.431900,0.410011,0.407612,0.000133,0.000000,0.003605
breeds,entity30,seed_42,val_source,16.024366,0.606000,0.421800,0.400018,0.397512,0.000000,0.000000,0.003605
breeds,entity30,seed_42,val_source,16.110676,0.616100,0.411900,0.389918,0.387412,0.000000,0.000000,0.003598
breeds,entity30,seed_42,val_source,16.200462,0.626200,0.402000,0.379818,0.377312,0.000000,0.000000,0.003442
breeds,entity30,seed_42,val_source,16.293360,0.636300,0.391900,0.369718,0.367212,0.000000,0.000000,0.003442
breeds,entity30,seed_42,val_source,16.385916,0.646400,0.381800,0.359618,0.357112,0.000000,0.000000,0.003442
breeds,entity30,seed_42,val_source,16.485958,0.656500,0.371900,0.349518,0.347012,0.000000,0.000000,0.003408
breeds,entity30,seed_42,val_source,16.592001,0.666600,0.362000,0.339418,0.336912,0.000000,0.000000,0.003272
breeds,entity30,seed_42,val_source,16.691748,0.676700,0.351900,0.329318,0.326812,0.000000,0.000000,0.003272
breeds,entity30,seed_42,val_source,16.796698,0.686800,0.341800,0.319218,0.316712,0.000000,0.000000,0.003272
breeds,entity30,seed_42,val_source,16.913809,0.696900,0.331900,0.309118,0.306612,0.000000,0.000000,0.003196
breeds,entity30,seed_42,val_source,17.042662,0.707000,0.321800,0.299018,0.296512,0.000000,0.000000,0.003196
breeds,entity30,seed_42,val_source,17.158415,0.717100,0.311700,0.288918,0.286412,0.000000,0.000000,0.003196
breeds,entity30,seed_42,val_source,17.256248,0.727200,0.301800,0.278818,0.276312,0.000000,0.000000,0.003196
breeds,entity30,seed_42,val_source,17.358232,0.737300,0.291700,0.268718,0.266212,0.000000,0.000000,0.003196
breeds,entity30,seed_42,val_source,17.472212,0.747400,0.281800,0.258618,0.256112,0.000000,0.000000,0.003142
breeds,entity30,seed_42,val_source,17.607416,0.757500,0.271900,0.248518,0.246012,0.000000,0.000000,0.002842
breeds,entity30,seed_42,val_source,17.744307,0.767600,0.262000,0.238418,0.235912,0.000000,0.000000,0.002513
breeds,entity30,seed_42,val_source,17.884577,0.777700,0.251900,0.228318,0.225812,0.000000,0.000000,0.002513
breeds,entity30,seed_42,val_source,18.018026,0.787800,0.241800,0.218218,0.215712,0.000000,0.000000,0.002513
breeds,entity30,seed_42,val_source,18.144810,0.797900,0.231900,0.208118,0.205612,0.000000,0.000000,0.002434
breeds,entity30,seed_42,val_source,18.290283,0.808000,0.222000,0.198018,0.195512,0.000000,0.000000,0.001988
breeds,entity30,seed_42,val_source,18.436531,0.818100,0.211900,0.187918,0.185412,0.000000,0.000000,0.001988
breeds,entity30,seed_42,val_source,18.613226,0.828200,0.202000,0.177818,0.175312,0.000000,0.000000,0.001685
breeds,entity30,seed_42,val_source,18.766500,0.838300,0.191900,0.167718,0.165212,0.000000,0.000000,0.001685
breeds,entity30,seed_42,val_source,18.966671,0.848400,0.181800,0.157618,0.155112,0.000000,0.000000,0.001685
breeds,entity30,seed_42,val_source,19.172634,0.858500,0.171900,0.147518,0.145012,0.000000,0.000000,0.001325
breeds,entity30,seed_42,val_source,19.372543,0.868600,0.162000,0.137418,0.134912,0.000000,0.000000,0.000724
breeds,entity30,seed_42,val_source,19.570436,0.878700,0.151900,0.127318,0.124812,0.000000,0.000000,0.000724
breeds,entity30,seed_42,val_source,19.794214,0.888800,0.142000,0.117218,0.114712,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,20.006853,0.898900,0.131900,0.107118,0.104612,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,20.316387,0.909000,0.121800,0.097018,0.094512,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,20.587685,0.919100,0.111700,0.086918,0.084412,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,20.919266,0.929200,0.101600,0.076818,0.074312,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,21.282747,0.939300,0.091500,0.066718,0.064212,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,21.652948,0.949400,0.081400,0.056618,0.054112,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,22.228832,0.959500,0.071300,0.046518,0.044012,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,22.803152,0.969600,0.061200,0.036418,0.033912,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,23.721649,0.979700,0.051100,0.026318,0.023812,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,25.105362,0.989800,0.041000,0.016218,0.013712,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_source,31.866165,0.999900,0.030900,0.006118,0.003612,0.000000,0.000000,0.000000
breeds,entity30,seed_42,val_target,1.520536,0.000000,0.732275,0.916699,0.971251,0.083301,0.028749,0.267725
breeds,entity30,seed_42,val_target,4.339842,0.010096,0.737661,0.915384,0.966893,0.079715,0.026144,0.262636
breeds,entity30,seed_42,val_target,4.822538,0.020198,0.741482,0.913166,0.961265,0.076514,0.024130,0.258238
breeds,entity30,seed_42,val_target,5.156724,0.030301,0.745499,0.910685,0.955039,0.073381,0.022383,0.253647
breeds,entity30,seed_42,val_target,5.452954,0.040403,0.748944,0.908579,0.948393,0.069987,0.020817,0.249260
breeds,entity30,seed_42,val_target,5.697922,0.050499,0.752526,0.906048,0.941543,0.066747,0.019329,0.244706
breeds,entity30,seed_42,val_target,5.916778,0.060602,0.755153,0.902866,0.934181,0.063782,0.018079,0.240562
breeds,entity30,seed_42,val_target,6.111213,0.070704,0.757742,0.899368,0.926694,0.060922,0.016868,0.236350
breeds,entity30,seed_42,val_target,6.297400,0.080807,0.759514,0.895896,0.918957,0.057985,0.015766,0.232489
breeds,entity30,seed_42,val_target,6.468553,0.090903,0.761240,0.891958,0.910782,0.055242,0.014885,0.228566
breeds,entity30,seed_42,val_target,6.630688,0.101005,0.763231,0.887659,0.902587,0.052635,0.013991,0.224411
breeds,entity30,seed_42,val_target,6.787397,0.111108,0.764263,0.883294,0.894320,0.050006,0.013118,0.220697
breeds,entity30,seed_42,val_target,6.935317,0.121210,0.765178,0.878536,0.885863,0.047539,0.012333,0.216967
breeds,entity30,seed_42,val_target,7.084700,0.131306,0.766177,0.873687,0.877293,0.045072,0.011598,0.213102
breeds,entity30,seed_42,val_target,7.233097,0.141408,0.766612,0.868762,0.868649,0.042587,0.010885,0.209472
breeds,entity30,seed_42,val_target,7.373829,0.151511,0.767280,0.863356,0.859951,0.040327,0.010187,0.205619
breeds,entity30,seed_42,val_target,7.508646,0.161613,0.767637,0.857534,0.851114,0.038260,0.009555,0.201860
breeds,entity30,seed_42,val_target,7.632854,0.171716,0.767579,0.851233,0.842040,0.036432,0.009051,0.198255
breeds,entity30,seed_42,val_target,7.761237,0.181812,0.767592,0.844850,0.832855,0.034612,0.008606,0.194525
breeds,entity30,seed_42,val_target,7.891737,0.191914,0.766923,0.838539,0.823860,0.032699,0.008028,0.191121
breeds,entity30,seed_42,val_target,8.010941,0.202017,0.766009,0.831889,0.814599,0.030950,0.007602,0.187786
breeds,entity30,seed_42,val_target,8.134473,0.212119,0.764925,0.825260,0.805100,0.029142,0.007317,0.184467
breeds,entity30,seed_42,val_target,8.257652,0.222215,0.763640,0.818176,0.795756,0.027585,0.006929,0.181193
breeds,entity30,seed_42,val_target,8.376885,0.232317,0.762738,0.810911,0.786380,0.026099,0.006547,0.177592
breeds,entity30,seed_42,val_target,8.496625,0.242420,0.761408,0.803600,0.777047,0.024605,0.006126,0.174171
breeds,entity30,seed_42,val_target,8.618064,0.252522,0.759092,0.796166,0.767719,0.023153,0.005691,0.171312
breeds,entity30,seed_42,val_target,8.732615,0.262618,0.756873,0.788425,0.758147,0.021873,0.005413,0.168321
breeds,entity30,seed_42,val_target,8.844661,0.272721,0.754245,0.780589,0.748489,0.020619,0.005183,0.165520
breeds,entity30,seed_42,val_target,8.952041,0.282823,0.751799,0.772499,0.738937,0.019506,0.004873,0.162514
breeds,entity30,seed_42,val_target,9.062193,0.292926,0.749444,0.764246,0.729424,0.018477,0.004526,0.159355
breeds,entity30,seed_42,val_target,9.171248,0.303028,0.746790,0.755996,0.719834,0.017416,0.004223,0.156321
breeds,entity30,seed_42,val_target,9.280749,0.313124,0.744169,0.747693,0.710337,0.016366,0.003849,0.153179
breeds,entity30,seed_42,val_target,9.391524,0.323227,0.741100,0.739201,0.700628,0.015421,0.003616,0.150269
breeds,entity30,seed_42,val_target,9.498909,0.333329,0.737654,0.730514,0.690866,0.014593,0.003416,0.147537
breeds,entity30,seed_42,val_target,9.606418,0.343431,0.733858,0.721682,0.681008,0.013850,0.003282,0.145023
breeds,entity30,seed_42,val_target,9.712312,0.353527,0.730108,0.712864,0.671281,0.013078,0.003048,0.142358
breeds,entity30,seed_42,val_target,9.820069,0.363630,0.726144,0.703922,0.661399,0.012374,0.002923,0.139807
breeds,entity30,seed_42,val_target,9.926547,0.373732,0.721959,0.694985,0.651608,0.011643,0.002722,0.137347
breeds,entity30,seed_42,val_target,10.031214,0.383835,0.717462,0.685974,0.641727,0.010948,0.002586,0.135045
breeds,entity30,seed_42,val_target,10.138023,0.393931,0.712894,0.676880,0.631891,0.010304,0.002415,0.132737
breeds,entity30,seed_42,val_target,10.239594,0.404033,0.708333,0.667705,0.622103,0.009701,0.002192,0.130316
breeds,entity30,seed_42,val_target,10.344448,0.414136,0.703318,0.658355,0.612182,0.009226,0.002075,0.128248
breeds,entity30,seed_42,val_target,10.450530,0.424238,0.698341,0.649170,0.602275,0.008591,0.001942,0.126045
breeds,entity30,seed_42,val_target,10.554090,0.434341,0.693105,0.639769,0.592381,0.008124,0.001792,0.123986
breeds,entity30,seed_42,val_target,10.660605,0.444437,0.688031,0.630454,0.582441,0.007569,0.001684,0.121730
breeds,entity30,seed_42,val_target,10.760926,0.454539,0.682808,0.621004,0.572456,0.007111,0.001608,0.119509
breeds,entity30,seed_42,val_target,10.864512,0.464641,0.677130,0.611460,0.562428,0.006724,0.001569,0.117621
