config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_42,ENGPE,ST,0.925549,0.557898,0.367651,0.169448
seed_42,ENGPE,TA,0.926199,0.761561,0.164758,0.061977
seed_42,ENGPE-TA,ST,0.769402,0.557898,0.211504,0.092696
seed_42,ENGPE-TA,TA,0.825520,0.761561,0.075275,0.038061
seed_42,ATC,ST,0.767927,0.557898,0.210028,0.102440
seed_42,ATC,TA,0.767927,0.761561,0.075763,0.064011
seed_42,ATC-NE,ST,0.685530,0.557898,0.127631,0.073821
seed_42,ATC-NE,TA,0.685530,0.761561,0.095491,0.114598
seed_42,AC,ST,0.849770,0.557898,0.291871,0.138287
seed_42,AC,TA,0.849770,0.761561,0.101262,0.050111
seed_42,DOC,ST,0.849707,0.557898,0.291809,0.138287
seed_42,DOC,TA,0.849707,0.761561,0.101211,0.050103
seed_42,COT,ST,0.744295,0.557898,0.186397,0.090315
seed_42,COT,TA,0.744295,0.761561,0.089848,0.092903
