dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,seed_42,val_source,1.809765,0.000000,0.972200,0.962290,0.947922,0.037710,0.052078,0.027800
breeds,entity13,seed_42,val_source,4.454363,0.010100,0.973700,0.954867,0.949008,0.036743,0.046959,0.022224
breeds,entity13,seed_42,val_source,5.266182,0.020200,0.970200,0.948935,0.947168,0.034994,0.043228,0.019082
breeds,entity13,seed_42,val_source,5.844217,0.030300,0.965100,0.943533,0.943404,0.032936,0.040412,0.016699
breeds,entity13,seed_42,val_source,6.313220,0.040400,0.959000,0.937905,0.942254,0.030953,0.036173,0.014790
breeds,entity13,seed_42,val_source,6.721351,0.050500,0.951700,0.932258,0.936879,0.028938,0.034070,0.013479
breeds,entity13,seed_42,val_source,7.077842,0.060600,0.944200,0.926506,0.931630,0.026934,0.031854,0.012235
breeds,entity13,seed_42,val_source,7.386108,0.070700,0.937100,0.920214,0.925986,0.025178,0.029803,0.010761
breeds,entity13,seed_42,val_source,7.697055,0.080800,0.929000,0.914142,0.919903,0.023264,0.027945,0.009791
breeds,entity13,seed_42,val_source,7.934863,0.090900,0.920300,0.907265,0.914405,0.021750,0.025725,0.009130
breeds,entity13,seed_42,val_source,8.161813,0.101000,0.912000,0.900503,0.908093,0.020137,0.023907,0.008230
breeds,entity13,seed_42,val_source,8.354984,0.111100,0.903500,0.893421,0.902188,0.018669,0.021819,0.007418
breeds,entity13,seed_42,val_source,8.543102,0.121200,0.894000,0.885899,0.895408,0.017416,0.020181,0.007150
breeds,entity13,seed_42,val_source,8.717984,0.131300,0.884700,0.877970,0.888412,0.016370,0.018629,0.006790
breeds,entity13,seed_42,val_source,8.894741,0.141400,0.875200,0.870244,0.880805,0.015179,0.017396,0.006497
breeds,entity13,seed_42,val_source,9.074322,0.151500,0.865500,0.862217,0.872522,0.014139,0.016533,0.006351
breeds,entity13,seed_42,val_source,9.233978,0.161600,0.856800,0.854217,0.864721,0.013057,0.015360,0.005598
breeds,entity13,seed_42,val_source,9.376641,0.171700,0.847700,0.845430,0.857054,0.012423,0.014079,0.005049
breeds,entity13,seed_42,val_source,9.532977,0.181800,0.838600,0.837151,0.848192,0.011464,0.013497,0.004520
breeds,entity13,seed_42,val_source,9.666453,0.191900,0.829700,0.828299,0.840372,0.010835,0.012255,0.003825
