config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_42,ENGPE,ST,0.624640,0.650743,0.067484,0.077625
seed_42,ENGPE,TA,0.790949,0.767979,0.046094,0.060667
seed_42,ENGPE-TA,ST,0.663880,0.650743,0.048337,0.045393
seed_42,ENGPE-TA,TA,0.749573,0.767979,0.040991,0.037583
seed_42,ATC,ST,0.823077,0.650743,0.172334,0.098871
seed_42,ATC,TA,0.823077,0.767979,0.072040,0.042788
seed_42,ATC-NE,ST,0.773358,0.650743,0.122615,0.077404
seed_42,ATC-NE,TA,0.773358,0.767979,0.061503,0.057437
seed_42,AC,ST,0.880031,0.650743,0.229289,0.125521
seed_42,AC,TA,0.880031,0.767979,0.113799,0.046906
seed_42,DOC,ST,0.879583,0.650743,0.228840,0.125521
seed_42,DOC,TA,0.879583,0.767979,0.113364,0.046889
seed_42,COT,ST,0.784065,0.650743,0.133323,0.057403
seed_42,COT,TA,0.784065,0.767979,0.079303,0.072942
