dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,seed_123,val_source,3.241184,0.000000,0.964000,0.990423,0.994874,0.009577,0.005126,0.036000
breeds,nonliving26,seed_123,val_source,5.810684,0.010100,0.963700,0.985237,0.989411,0.007192,0.002836,0.031417
breeds,nonliving26,seed_123,val_source,6.864963,0.020200,0.961200,0.978285,0.980733,0.005660,0.002140,0.027863
breeds,nonliving26,seed_123,val_source,7.381795,0.030300,0.958300,0.969667,0.971244,0.004955,0.001847,0.024441
breeds,nonliving26,seed_123,val_source,7.776684,0.040400,0.955000,0.960642,0.961726,0.004447,0.001563,0.021155
breeds,nonliving26,seed_123,val_source,8.232370,0.050500,0.949100,0.951759,0.952030,0.003853,0.001367,0.019168
breeds,nonliving26,seed_123,val_source,8.649825,0.060600,0.942200,0.942502,0.942929,0.003446,0.000850,0.017665
breeds,nonliving26,seed_123,val_source,8.981164,0.070700,0.934700,0.932968,0.933234,0.003179,0.000641,0.016450
breeds,nonliving26,seed_123,val_source,9.334938,0.080800,0.926400,0.923592,0.923531,0.002820,0.000433,0.015645
breeds,nonliving26,seed_123,val_source,9.564146,0.090900,0.918300,0.913908,0.913630,0.002622,0.000328,0.014740
breeds,nonliving26,seed_123,val_source,9.762373,0.101000,0.910800,0.903999,0.903536,0.002546,0.000328,0.013456
breeds,nonliving26,seed_123,val_source,9.978994,0.111100,0.902100,0.894245,0.893443,0.002380,0.000328,0.012823
breeds,nonliving26,seed_123,val_source,10.207026,0.121200,0.893200,0.884449,0.883350,0.002235,0.000328,0.012253
breeds,nonliving26,seed_123,val_source,10.378146,0.131300,0.884900,0.874437,0.873429,0.002210,0.000228,0.011391
breeds,nonliving26,seed_123,val_source,10.565778,0.141400,0.875800,0.864430,0.863334,0.002182,0.000228,0.010939
breeds,nonliving26,seed_123,val_source,10.734618,0.151500,0.866500,0.854439,0.853239,0.002144,0.000228,0.010575
breeds,nonliving26,seed_123,val_source,10.896999,0.161600,0.857800,0.844557,0.843143,0.002039,0.000228,0.009894
breeds,nonliving26,seed_123,val_source,11.043142,0.171700,0.848900,0.834590,0.833048,0.001984,0.000228,0.009278
breeds,nonliving26,seed_123,val_source,11.169700,0.181800,0.839800,0.824731,0.822952,0.001861,0.000228,0.008770
breeds,nonliving26,seed_123,val_source,11.302322,0.191900,0.830700,0.814755,0.812857,0.001808,0.000228,0.008257
breeds,nonliving26,seed_123,val_source,11.412671,0.202000,0.821200,0.804763,0.802762,0.001763,0.000228,0.007980
breeds,nonliving26,seed_123,val_source,11.552350,0.212100,0.811700,0.794831,0.792666,0.001679,0.000228,0.007711
breeds,nonliving26,seed_123,val_source,11.654669,0.222200,0.802000,0.784899,0.782727,0.001592,0.000128,0.007531
breeds,nonliving26,seed_123,val_source,11.755994,0.232300,0.792500,0.774892,0.772629,0.001553,0.000128,0.007248
breeds,nonliving26,seed_123,val_source,11.879072,0.242400,0.782400,0.764940,0.762532,0.001476,0.000128,0.007248
breeds,nonliving26,seed_123,val_source,11.989620,0.252500,0.772500,0.754987,0.752434,0.001398,0.000128,0.007248
breeds,nonliving26,seed_123,val_source,12.090422,0.262600,0.762600,0.744995,0.742337,0.001344,0.000128,0.007248
breeds,nonliving26,seed_123,val_source,12.219287,0.272700,0.752900,0.735006,0.732240,0.001286,0.000128,0.007095
breeds,nonliving26,seed_123,val_source,12.309055,0.282800,0.743000,0.724995,0.722142,0.001242,0.000128,0.007087
