config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_123,ENGPE,ST,0.633717,0.650743,0.064784,0.075484
seed_123,ENGPE,TA,0.785069,0.767979,0.042474,0.055524
seed_123,ENGPE-TA,ST,0.664802,0.650743,0.049374,0.046945
seed_123,ENGPE-TA,TA,0.749919,0.767979,0.041416,0.039914
seed_123,ATC,ST,0.823077,0.650743,0.172334,0.098871
seed_123,ATC,TA,0.823077,0.767979,0.072040,0.042788
seed_123,ATC-NE,ST,0.773358,0.650743,0.122615,0.077404
seed_123,ATC-NE,TA,0.773358,0.767979,0.061503,0.057437
seed_123,AC,ST,0.880031,0.650743,0.229289,0.125521
seed_123,AC,TA,0.880031,0.767979,0.113799,0.046906
seed_123,DOC,ST,0.879583,0.650743,0.228840,0.125521
seed_123,DOC,TA,0.879583,0.767979,0.113364,0.046889
seed_123,COT,ST,0.784065,0.650743,0.133323,0.057403
seed_123,COT,TA,0.784065,0.767979,0.079303,0.072942
