dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,seed_123,val_source,12.429963,0.474700,0.552100,0.560526,0.574794,0.002374,0.002248,0.000948
breeds,entity13,seed_123,val_source,12.511496,0.484800,0.542000,0.550630,0.565255,0.002223,0.001748,0.000948
breeds,entity13,seed_123,val_source,12.588864,0.494900,0.531900,0.540719,0.555190,0.002080,0.001748,0.000948
breeds,entity13,seed_123,val_source,12.669529,0.505000,0.522200,0.530661,0.545126,0.002080,0.001748,0.000598
breeds,entity13,seed_123,val_source,12.749224,0.515100,0.512100,0.520921,0.535174,0.001752,0.001632,0.000598
breeds,entity13,seed_123,val_source,12.836001,0.525200,0.502000,0.510929,0.525262,0.001676,0.001469,0.000598
breeds,entity13,seed_123,val_source,12.906377,0.535300,0.491900,0.500949,0.515191,0.001583,0.001469,0.000598
breeds,entity13,seed_123,val_source,12.981322,0.545400,0.481800,0.490942,0.505260,0.001516,0.001316,0.000598
breeds,entity13,seed_123,val_source,13.068068,0.555500,0.471700,0.480953,0.495187,0.001426,0.001316,0.000598
breeds,entity13,seed_123,val_source,13.146811,0.565600,0.461600,0.470979,0.485113,0.001313,0.001316,0.000598
breeds,entity13,seed_123,val_source,13.234087,0.575700,0.451500,0.460906,0.475040,0.001313,0.001316,0.000598
breeds,entity13,seed_123,val_source,13.312786,0.585800,0.441400,0.450832,0.464967,0.001313,0.001316,0.000598
breeds,entity13,seed_123,val_source,13.395306,0.595900,0.431300,0.440759,0.454893,0.001313,0.001316,0.000598
breeds,entity13,seed_123,val_source,13.473761,0.606000,0.421400,0.430922,0.444862,0.001013,0.001263,0.000498
breeds,entity13,seed_123,val_source,13.549736,0.616100,0.411300,0.420842,0.434787,0.001013,0.001263,0.000498
breeds,entity13,seed_123,val_source,13.634505,0.626200,0.401200,0.410855,0.424713,0.000890,0.001263,0.000498
breeds,entity13,seed_123,val_source,13.707030,0.636300,0.391100,0.400880,0.414770,0.000742,0.001082,0.000498
breeds,entity13,seed_123,val_source,13.780573,0.646400,0.381000,0.390795,0.404692,0.000742,0.001082,0.000498
breeds,entity13,seed_123,val_source,13.852980,0.656500,0.370900,0.380710,0.394613,0.000742,0.001082,0.000498
breeds,entity13,seed_123,val_source,13.934101,0.666600,0.360800,0.370625,0.384535,0.000742,0.001082,0.000498
breeds,entity13,seed_123,val_source,14.017487,0.676700,0.350700,0.360743,0.374760,0.000429,0.000614,0.000498
breeds,entity13,seed_123,val_source,14.105171,0.686800,0.340800,0.350781,0.364862,0.000223,0.000310,0.000318
breeds,entity13,seed_123,val_source,14.203959,0.696900,0.330700,0.340685,0.354768,0.000223,0.000310,0.000318
breeds,entity13,seed_123,val_source,14.313477,0.707000,0.320600,0.330590,0.344675,0.000223,0.000310,0.000318
breeds,entity13,seed_123,val_source,14.424780,0.717100,0.310500,0.320494,0.334581,0.000223,0.000310,0.000318
breeds,entity13,seed_123,val_source,14.503801,0.727200,0.300400,0.310520,0.324657,0.000000,0.000000,0.000318
breeds,entity13,seed_123,val_source,14.594783,0.737300,0.290300,0.300420,0.314557,0.000000,0.000000,0.000318
breeds,entity13,seed_123,val_source,14.689172,0.747400,0.280200,0.290320,0.304457,0.000000,0.000000,0.000318
breeds,entity13,seed_123,val_source,14.772244,0.757500,0.270100,0.280220,0.294357,0.000000,0.000000,0.000318
breeds,entity13,seed_123,val_source,14.884970,0.767600,0.260000,0.270120,0.284257,0.000000,0.000000,0.000318
breeds,entity13,seed_123,val_source,14.982186,0.777700,0.249900,0.260020,0.274157,0.000000,0.000000,0.000318
breeds,entity13,seed_123,val_source,15.088986,0.787800,0.239800,0.249920,0.264057,0.000000,0.000000,0.000318
breeds,entity13,seed_123,val_source,15.196764,0.797900,0.229700,0.239820,0.253957,0.000000,0.000000,0.000318
breeds,entity13,seed_123,val_source,15.309582,0.808000,0.219800,0.229720,0.243857,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,15.422934,0.818100,0.209700,0.219620,0.233757,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,15.520831,0.828200,0.199600,0.209520,0.223657,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,15.647771,0.838300,0.189500,0.199420,0.213557,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,15.783681,0.848400,0.179400,0.189320,0.203457,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,15.944346,0.858500,0.169300,0.179220,0.193357,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,16.076982,0.868600,0.159200,0.169120,0.183257,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,16.230194,0.878700,0.149100,0.159020,0.173157,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,16.425636,0.888800,0.139000,0.148920,0.163057,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,16.615059,0.898900,0.128900,0.138820,0.152957,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,16.838621,0.909000,0.118800,0.128720,0.142857,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,17.041672,0.919100,0.108700,0.118620,0.132757,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,17.347733,0.929200,0.098600,0.108520,0.122657,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,17.599306,0.939300,0.088500,0.098420,0.112557,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,17.899546,0.949400,0.078400,0.088320,0.102457,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,18.281664,0.959500,0.068300,0.078220,0.092357,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,18.807467,0.969600,0.058200,0.068120,0.082257,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,19.408312,0.979700,0.048100,0.058020,0.072157,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,20.615122,0.989800,0.038000,0.047920,0.062057,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_source,28.686623,0.999900,0.027900,0.037820,0.051957,0.000000,0.000000,0.000000
breeds,entity13,seed_123,val_target,1.117747,0.000000,0.790157,0.843465,0.816240,0.156535,0.183760,0.209843
breeds,entity13,seed_123,val_target,3.199875,0.010095,0.794362,0.837609,0.819386,0.155990,0.178946,0.204760
breeds,entity13,seed_123,val_target,3.606181,0.020197,0.797301,0.832061,0.821156,0.155275,0.174733,0.200216
breeds,entity13,seed_123,val_target,3.906112,0.030298,0.799707,0.826918,0.823115,0.154335,0.170334,0.195851
breeds,entity13,seed_123,val_target,4.137596,0.040399,0.801664,0.821936,0.824269,0.153293,0.166263,0.191626
breeds,entity13,seed_123,val_target,4.340040,0.050501,0.803088,0.817239,0.825629,0.152078,0.161996,0.187600
breeds,entity13,seed_123,val_target,4.519919,0.060602,0.804439,0.812727,0.826170,0.150738,0.158074,0.183523
breeds,entity13,seed_123,val_target,4.693837,0.070703,0.805124,0.808755,0.826250,0.149079,0.154314,0.179714
breeds,entity13,seed_123,val_target,4.848149,0.080804,0.805542,0.805003,0.825465,0.147264,0.150942,0.175966
breeds,entity13,seed_123,val_target,4.993803,0.090906,0.805936,0.801387,0.825013,0.145333,0.147312,0.172150
breeds,entity13,seed_123,val_target,5.129683,0.101007,0.805433,0.797562,0.824282,0.143475,0.143756,0.168746
breeds,entity13,seed_123,val_target,5.261034,0.111108,0.805051,0.793728,0.822520,0.141580,0.140699,0.165196
breeds,entity13,seed_123,val_target,5.395018,0.121210,0.804112,0.790484,0.821399,0.139306,0.137206,0.161882
breeds,entity13,seed_123,val_target,5.519497,0.131311,0.803185,0.787230,0.819527,0.136984,0.134065,0.158483
breeds,entity13,seed_123,val_target,5.643980,0.141412,0.802064,0.784093,0.817552,0.134540,0.130910,0.155117
breeds,entity13,seed_123,val_target,5.756404,0.151514,0.800095,0.780554,0.815194,0.132275,0.127906,0.152172
breeds,entity13,seed_123,val_target,5.869478,0.161615,0.798052,0.777398,0.813166,0.129727,0.124632,0.149199
breeds,entity13,seed_123,val_target,5.982914,0.171710,0.796113,0.774120,0.809980,0.127193,0.121980,0.146095
breeds,entity13,seed_123,val_target,6.091229,0.181812,0.793490,0.770758,0.807741,0.124644,0.118682,0.143327
breeds,entity13,seed_123,val_target,6.201570,0.191913,0.791023,0.767475,0.804686,0.121984,0.115805,0.140398
breeds,entity13,seed_123,val_target,6.307679,0.202014,0.788412,0.764392,0.802049,0.119131,0.112594,0.137482
breeds,entity13,seed_123,val_target,6.408303,0.212116,0.785873,0.760846,0.798627,0.116498,0.109799,0.134444
breeds,entity13,seed_123,val_target,6.513479,0.222217,0.783019,0.757711,0.795207,0.113533,0.106930,0.131533
breeds,entity13,seed_123,val_target,6.613458,0.232318,0.779462,0.754080,0.791564,0.110812,0.104130,0.128998
breeds,entity13,seed_123,val_target,6.716941,0.242419,0.775541,0.750859,0.787585,0.107749,0.101478,0.126632
breeds,entity13,seed_123,val_target,6.815942,0.252521,0.771936,0.747231,0.783371,0.104875,0.098911,0.124006
breeds,entity13,seed_123,val_target,6.916441,0.262622,0.768076,0.743464,0.779078,0.102016,0.096328,0.121475
breeds,entity13,seed_123,val_target,7.011762,0.272723,0.763889,0.739359,0.774400,0.099310,0.093937,0.119092
breeds,entity13,seed_123,val_target,7.108890,0.282825,0.759411,0.735252,0.769856,0.096530,0.091386,0.116851
