config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_123,ENGPE,ST,0.920988,0.557898,0.363090,0.165808
seed_123,ENGPE,TA,0.922144,0.761561,0.162422,0.063568
seed_123,ENGPE-TA,ST,0.767412,0.557898,0.209513,0.088536
seed_123,ENGPE-TA,TA,0.826568,0.761561,0.076507,0.039240
seed_123,ATC,ST,0.767927,0.557898,0.210028,0.102440
seed_123,ATC,TA,0.767927,0.761561,0.075763,0.064011
seed_123,ATC-NE,ST,0.685530,0.557898,0.127631,0.073821
seed_123,ATC-NE,TA,0.685530,0.761561,0.095491,0.114598
seed_123,AC,ST,0.849770,0.557898,0.291871,0.138287
seed_123,AC,TA,0.849770,0.761561,0.101262,0.050111
seed_123,DOC,ST,0.849707,0.557898,0.291809,0.138287
seed_123,DOC,TA,0.849707,0.761561,0.101211,0.050103
seed_123,COT,ST,0.744295,0.557898,0.186397,0.090315
seed_123,COT,TA,0.744295,0.761561,0.089848,0.092903
