dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,seed_456,val_source,1.809765,0.000000,0.972200,0.963143,0.949138,0.036857,0.050862,0.027800
breeds,entity13,seed_456,val_source,4.454363,0.010100,0.973700,0.955736,0.950856,0.035873,0.045411,0.022224
breeds,entity13,seed_456,val_source,5.266182,0.020200,0.970200,0.949923,0.950946,0.034055,0.040680,0.019082
breeds,entity13,seed_456,val_source,5.844217,0.030300,0.965100,0.944475,0.947756,0.032011,0.037540,0.016699
breeds,entity13,seed_456,val_source,6.313220,0.040400,0.959000,0.938857,0.943612,0.030012,0.034832,0.014790
breeds,entity13,seed_456,val_source,6.721351,0.050500,0.951700,0.933126,0.939476,0.028031,0.032062,0.013479
breeds,entity13,seed_456,val_source,7.077842,0.060600,0.944200,0.927659,0.934052,0.025866,0.029918,0.012235
breeds,entity13,seed_456,val_source,7.386108,0.070700,0.937100,0.921688,0.928791,0.023926,0.027640,0.010761
breeds,entity13,seed_456,val_source,7.697055,0.080800,0.929000,0.915590,0.922199,0.022012,0.026035,0.009791
breeds,entity13,seed_456,val_source,7.934863,0.090900,0.920300,0.908884,0.915296,0.020390,0.024566,0.009130
breeds,entity13,seed_456,val_source,8.161813,0.101000,0.912000,0.901892,0.909402,0.018890,0.022503,0.008230
breeds,entity13,seed_456,val_source,8.354984,0.111100,0.903500,0.894472,0.902244,0.017597,0.021103,0.007418
breeds,entity13,seed_456,val_source,8.543102,0.121200,0.894000,0.886829,0.894591,0.016402,0.019954,0.007150
breeds,entity13,seed_456,val_source,8.717984,0.131300,0.884700,0.878468,0.886358,0.015592,0.019111,0.006790
breeds,entity13,seed_456,val_source,8.894741,0.141400,0.875200,0.870423,0.879560,0.014578,0.017413,0.006497
breeds,entity13,seed_456,val_source,9.074322,0.151500,0.865500,0.862482,0.872151,0.013479,0.016034,0.006351
breeds,entity13,seed_456,val_source,9.233978,0.161600,0.856800,0.854154,0.863739,0.012585,0.015221,0.005598
