config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_456,ENGPE,ST,0.935842,0.594575,0.341266,0.159955
seed_456,ENGPE,TA,0.936374,0.768761,0.167929,0.057781
seed_456,ENGPE-TA,ST,0.792706,0.594575,0.198131,0.076956
seed_456,ENGPE-TA,TA,0.845861,0.768761,0.081725,0.034747
seed_456,ATC,ST,0.794079,0.594575,0.199504,0.097855
seed_456,ATC,TA,0.794079,0.768761,0.071418,0.052381
seed_456,ATC-NE,ST,0.787606,0.594575,0.193030,0.090734
seed_456,ATC-NE,TA,0.787606,0.768761,0.077563,0.060813
seed_456,AC,ST,0.891952,0.594575,0.297377,0.141956
seed_456,AC,TA,0.891952,0.768761,0.126319,0.050427
seed_456,DOC,ST,0.891928,0.594575,0.297352,0.141956
seed_456,DOC,TA,0.891928,0.768761,0.126296,0.050424
seed_456,COT,ST,0.785057,0.594575,0.190481,0.083108
seed_456,COT,TA,0.785057,0.768761,0.085217,0.069514
