config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_456,ENGPE,ST,0.605782,0.650743,0.075389,0.085668
seed_456,ENGPE,TA,0.800005,0.767979,0.053111,0.065525
seed_456,ENGPE-TA,ST,0.654497,0.650743,0.050542,0.050543
seed_456,ENGPE-TA,TA,0.751983,0.767979,0.043683,0.041990
seed_456,ATC,ST,0.823077,0.650743,0.172334,0.098871
seed_456,ATC,TA,0.823077,0.767979,0.072040,0.042788
seed_456,ATC-NE,ST,0.773358,0.650743,0.122615,0.077404
seed_456,ATC-NE,TA,0.773358,0.767979,0.061503,0.057437
seed_456,AC,ST,0.880031,0.650743,0.229289,0.125521
seed_456,AC,TA,0.880031,0.767979,0.113799,0.046906
seed_456,DOC,ST,0.879583,0.650743,0.228840,0.125521
seed_456,DOC,TA,0.879583,0.767979,0.113364,0.046889
seed_456,COT,ST,0.784065,0.650743,0.133323,0.057403
seed_456,COT,TA,0.784065,0.767979,0.079303,0.072942
