config,method,type,mean_est,mean_true,mean_mae,std_mae
flows_6,ENGPE,ST,0.683811,0.650743,0.068028,0.073932
flows_6,ENGPE,TA,0.791810,0.767979,0.037321,0.041605
flows_6,ENGPE-TA,ST,0.686780,0.650743,0.053333,0.049383
flows_6,ENGPE-TA,TA,0.758267,0.767979,0.033360,0.031088
flows_6,ATC,ST,0.823077,0.650743,0.172334,0.098871
flows_6,ATC,TA,0.823077,0.767979,0.072040,0.042788
flows_6,ATC-NE,ST,0.773358,0.650743,0.122615,0.077404
flows_6,ATC-NE,TA,0.773358,0.767979,0.061503,0.057437
flows_6,AC,ST,0.880031,0.650743,0.229289,0.125521
flows_6,AC,TA,0.880031,0.767979,0.113799,0.046906
flows_6,DOC,ST,0.879583,0.650743,0.228840,0.125521
flows_6,DOC,TA,0.879583,0.767979,0.113364,0.046889
flows_6,COT,ST,0.784065,0.650743,0.133323,0.057403
flows_6,COT,TA,0.784065,0.767979,0.079303,0.072942
