config,method,type,mean_est,mean_true,mean_mae,std_mae
flows_24,ENGPE,ST,0.944208,0.594575,0.349633,0.164425
flows_24,ENGPE,TA,0.944463,0.768761,0.175702,0.058132
flows_24,ENGPE-TA,ST,0.797759,0.594575,0.203184,0.078615
flows_24,ENGPE-TA,TA,0.850498,0.768761,0.085616,0.035657
flows_24,ATC,ST,0.794079,0.594575,0.199504,0.097855
flows_24,ATC,TA,0.794079,0.768761,0.071418,0.052381
flows_24,ATC-NE,ST,0.787606,0.594575,0.193030,0.090734
flows_24,ATC-NE,TA,0.787606,0.768761,0.077563,0.060813
flows_24,AC,ST,0.891952,0.594575,0.297377,0.141956
flows_24,AC,TA,0.891952,0.768761,0.126319,0.050427
flows_24,DOC,ST,0.891928,0.594575,0.297352,0.141956
flows_24,DOC,TA,0.891928,0.768761,0.126296,0.050424
flows_24,COT,ST,0.785057,0.594575,0.190481,0.083108
flows_24,COT,TA,0.785057,0.768761,0.085217,0.069514
