config,method,type,mean_est,mean_true,mean_mae,std_mae
flows_24,ENGPE,ST,0.965444,0.557898,0.407546,0.186000
flows_24,ENGPE,TA,0.965841,0.761561,0.204280,0.065730
flows_24,ENGPE-TA,ST,0.804846,0.557898,0.246948,0.110986
flows_24,ENGPE-TA,TA,0.845625,0.761561,0.091472,0.042985
flows_24,ATC,ST,0.767927,0.557898,0.210028,0.102440
flows_24,ATC,TA,0.767927,0.761561,0.075763,0.064011
flows_24,ATC-NE,ST,0.685530,0.557898,0.127631,0.073821
flows_24,ATC-NE,TA,0.685530,0.761561,0.095491,0.114598
flows_24,AC,ST,0.849770,0.557898,0.291871,0.138287
flows_24,AC,TA,0.849770,0.761561,0.101262,0.050111
flows_24,DOC,ST,0.849707,0.557898,0.291809,0.138287
flows_24,DOC,TA,0.849707,0.761561,0.101211,0.050103
flows_24,COT,ST,0.744295,0.557898,0.186397,0.090315
flows_24,COT,TA,0.744295,0.761561,0.089848,0.092903
