dataset,breeds_name,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,corr_source_brightness_sev1,12.196068,0.514923,0.543385,0.541629,0.564762,0.004011,0.005625,0.002801
breeds,entity13,corr_source_brightness_sev1,12.292551,0.525077,0.533231,0.531965,0.555479,0.003581,0.004828,0.002801
breeds,entity13,corr_source_brightness_sev1,12.382967,0.535231,0.523077,0.521884,0.545424,0.003581,0.004828,0.002801
breeds,entity13,corr_source_brightness_sev1,12.476799,0.545231,0.513385,0.511985,0.535895,0.003549,0.004416,0.002675
breeds,entity13,corr_source_brightness_sev1,12.556725,0.555385,0.503231,0.502152,0.526079,0.003269,0.004137,0.002675
breeds,entity13,corr_source_brightness_sev1,12.653449,0.565538,0.493077,0.492064,0.516009,0.003269,0.004137,0.002675
breeds,entity13,corr_source_brightness_sev1,12.728295,0.575538,0.483385,0.482195,0.506259,0.003192,0.003940,0.002522
breeds,entity13,corr_source_brightness_sev1,12.814608,0.585692,0.473231,0.472551,0.496990,0.002655,0.002968,0.002522
breeds,entity13,corr_source_brightness_sev1,12.903709,0.595846,0.463077,0.462451,0.486896,0.002655,0.002968,0.002522
breeds,entity13,corr_source_brightness_sev1,12.990910,0.605846,0.453077,0.452504,0.476956,0.002655,0.002968,0.002522
breeds,entity13,corr_source_brightness_sev1,13.079444,0.616000,0.443231,0.442404,0.466862,0.002655,0.002968,0.002361
breeds,entity13,corr_source_brightness_sev1,13.182682,0.626154,0.433077,0.432315,0.456873,0.002642,0.002828,0.002361
breeds,entity13,corr_source_brightness_sev1,13.259949,0.636154,0.423077,0.422486,0.446930,0.002478,0.002828,0.002361
breeds,entity13,corr_source_brightness_sev1,13.330553,0.646308,0.412923,0.412383,0.436834,0.002478,0.002828,0.002361
breeds,entity13,corr_source_brightness_sev1,13.428267,0.656462,0.402769,0.402407,0.426737,0.002292,0.002828,0.002361
breeds,entity13,corr_source_brightness_sev1,13.505378,0.666462,0.392769,0.392590,0.416862,0.002087,0.002726,0.002361
breeds,entity13,corr_source_brightness_sev1,13.604564,0.676615,0.382923,0.382841,0.407311,0.001526,0.001880,0.002353
breeds,entity13,corr_source_brightness_sev1,13.687917,0.686615,0.372923,0.372872,0.397348,0.001526,0.001880,0.002353
breeds,entity13,corr_source_brightness_sev1,13.792484,0.696769,0.363077,0.362749,0.387233,0.001526,0.001880,0.002003
breeds,entity13,corr_source_brightness_sev1,13.888918,0.706923,0.352923,0.352747,0.377306,0.001320,0.001557,0.002003
breeds,entity13,corr_source_brightness_sev1,13.972356,0.716923,0.342923,0.342773,0.367337,0.001320,0.001557,0.002003
breeds,entity13,corr_source_brightness_sev1,14.073177,0.727077,0.332769,0.332646,0.357215,0.001320,0.001557,0.002003
breeds,entity13,corr_source_brightness_sev1,14.169624,0.737231,0.322615,0.322519,0.347093,0.001320,0.001557,0.002003
breeds,entity13,corr_source_brightness_sev1,14.268067,0.747231,0.312615,0.312546,0.337124,0.001320,0.001557,0.002003
breeds,entity13,corr_source_brightness_sev1,14.382844,0.757385,0.302769,0.302512,0.327145,0.001128,0.001263,0.001833
breeds,entity13,corr_source_brightness_sev1,14.487884,0.767538,0.292615,0.292381,0.317016,0.001128,0.001263,0.001833
breeds,entity13,corr_source_brightness_sev1,14.572037,0.777538,0.282923,0.282403,0.307042,0.001128,0.001263,0.001366
breeds,entity13,corr_source_brightness_sev1,14.680695,0.787692,0.272769,0.272272,0.296913,0.001128,0.001263,0.001366
breeds,entity13,corr_source_brightness_sev1,14.776032,0.797846,0.262615,0.262141,0.286785,0.001128,0.001263,0.001366
breeds,entity13,corr_source_brightness_sev1,14.909409,0.807846,0.252615,0.252164,0.276811,0.001128,0.001263,0.001366
breeds,entity13,corr_source_brightness_sev1,15.023850,0.818000,0.242462,0.242033,0.266682,0.001128,0.001263,0.001366
breeds,entity13,corr_source_brightness_sev1,15.123710,0.828154,0.232308,0.232000,0.256687,0.000844,0.000877,0.001366
breeds,entity13,corr_source_brightness_sev1,15.247655,0.838154,0.222308,0.222017,0.246704,0.000844,0.000877,0.001366
breeds,entity13,corr_source_brightness_sev1,15.400696,0.848308,0.212462,0.211880,0.236568,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,15.550865,0.858308,0.202462,0.201897,0.226586,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,15.686937,0.868462,0.192308,0.191760,0.216450,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,15.872826,0.878615,0.182154,0.181623,0.206314,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,16.061869,0.888615,0.172154,0.171640,0.196331,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,16.207699,0.898769,0.162000,0.161504,0.186195,0.000844,0.000877,0.001005
