dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,living17,val_source,0.595900,0.413100,0.404552,0.404800,0.000000,0.000000,0.000667
breeds,living17,val_source,0.606000,0.403000,0.394452,0.394700,0.000000,0.000000,0.000667
breeds,living17,val_source,0.616100,0.392900,0.384352,0.384600,0.000000,0.000000,0.000667
breeds,living17,val_source,0.626200,0.382800,0.374252,0.374500,0.000000,0.000000,0.000667
breeds,living17,val_source,0.636300,0.372700,0.364152,0.364400,0.000000,0.000000,0.000667
breeds,living17,val_source,0.646400,0.362600,0.354052,0.354300,0.000000,0.000000,0.000667
breeds,living17,val_source,0.656500,0.352500,0.343952,0.344200,0.000000,0.000000,0.000667
breeds,living17,val_source,0.666600,0.342400,0.333852,0.334100,0.000000,0.000000,0.000667
breeds,living17,val_source,0.676700,0.332300,0.323752,0.324000,0.000000,0.000000,0.000667
breeds,living17,val_source,0.686800,0.322200,0.313652,0.313900,0.000000,0.000000,0.000667
breeds,living17,val_source,0.696900,0.312100,0.303552,0.303800,0.000000,0.000000,0.000667
breeds,living17,val_source,0.707000,0.302000,0.293452,0.293700,0.000000,0.000000,0.000667
breeds,living17,val_source,0.717100,0.291900,0.283352,0.283600,0.000000,0.000000,0.000667
breeds,living17,val_source,0.727200,0.281800,0.273252,0.273500,0.000000,0.000000,0.000667
breeds,living17,val_source,0.737300,0.271700,0.263152,0.263400,0.000000,0.000000,0.000667
breeds,living17,val_source,0.747400,0.261600,0.253052,0.253300,0.000000,0.000000,0.000667
breeds,living17,val_source,0.757500,0.251500,0.242952,0.243200,0.000000,0.000000,0.000667
breeds,living17,val_source,0.767600,0.241400,0.232852,0.233100,0.000000,0.000000,0.000667
breeds,living17,val_source,0.777700,0.231300,0.222752,0.223000,0.000000,0.000000,0.000667
breeds,living17,val_source,0.787800,0.221400,0.212652,0.212900,0.000000,0.000000,0.000667
breeds,living17,val_source,0.797900,0.211500,0.202552,0.202800,0.000000,0.000000,0.000483
breeds,living17,val_source,0.808000,0.201400,0.192452,0.192700,0.000000,0.000000,0.000483
breeds,living17,val_source,0.818100,0.191300,0.182352,0.182600,0.000000,0.000000,0.000483
breeds,living17,val_source,0.828200,0.181200,0.172252,0.172500,0.000000,0.000000,0.000483
breeds,living17,val_source,0.838300,0.171100,0.162152,0.162400,0.000000,0.000000,0.000483
breeds,living17,val_source,0.848400,0.161000,0.152052,0.152300,0.000000,0.000000,0.000483
breeds,living17,val_source,0.858500,0.150900,0.141952,0.142200,0.000000,0.000000,0.000483
breeds,living17,val_source,0.868600,0.141000,0.131852,0.132100,0.000000,0.000000,0.000000
breeds,living17,val_source,0.878700,0.130900,0.121752,0.122000,0.000000,0.000000,0.000000
breeds,living17,val_source,0.888800,0.120800,0.111652,0.111900,0.000000,0.000000,0.000000
breeds,living17,val_source,0.898900,0.110700,0.101552,0.101800,0.000000,0.000000,0.000000
breeds,living17,val_source,0.909000,0.100600,0.091452,0.091700,0.000000,0.000000,0.000000
breeds,living17,val_source,0.919100,0.090500,0.081352,0.081600,0.000000,0.000000,0.000000
breeds,living17,val_source,0.929200,0.080400,0.071252,0.071500,0.000000,0.000000,0.000000
breeds,living17,val_source,0.939300,0.070300,0.061152,0.061400,0.000000,0.000000,0.000000
breeds,living17,val_source,0.949400,0.060200,0.051052,0.051300,0.000000,0.000000,0.000000
breeds,living17,val_source,0.959500,0.050100,0.040952,0.041200,0.000000,0.000000,0.000000
breeds,living17,val_source,0.969600,0.040000,0.030852,0.031100,0.000000,0.000000,0.000000
breeds,living17,val_source,0.979700,0.029900,0.020752,0.021000,0.000000,0.000000,0.000000
breeds,living17,val_source,0.989800,0.019800,0.010652,0.010900,0.000000,0.000000,0.000000
breeds,living17,val_source,0.999900,0.009700,0.000552,0.000800,0.000000,0.000000,0.000000
breeds,living17,val_target,0.000000,0.825181,0.984753,0.994885,0.015247,0.005115,0.174819
breeds,living17,val_target,0.010087,0.827498,0.978433,0.987641,0.013500,0.003731,0.170331
breeds,living17,val_target,0.020197,0.828384,0.971294,0.978815,0.012123,0.003115,0.166470
